timestamp,open,high,low,close
2019-09-08 16:00:00,10000.0,10357.53,10000.0,10340.12
2019-09-08 20:00:00,10340.12,10412.65,10324.77,10391.63
2019-09-09 00:00:00,10316.62,10316.68,10267.37,10297.89
2019-09-09 04:00:00,10297.89,10316.34,10092.71,10149.47
2019-09-09 08:00:00,10149.47,10475.54,10077.22,10414.6
2019-09-09 12:00:00,10411.7,10411.7,10302.69,10314.26
2019-09-09 16:00:00,10314.26,10333.55,10183.31,10308.87
2019-09-09 20:00:00,10307.8,10420.65,10228.28,10307.0
2019-09-10 00:00:00,10307.0,10382.97,10266.61,10307.25
2019-09-10 04:00:00,10309.17,10329.24,10226.81,10272.46
2019-09-10 08:00:00,10271.93,10290.01,10206.87,10254.56
2019-09-10 12:00:00,10252.7,10270.58,10167.91,10179.1
2019-09-10 16:00:00,10172.13,10237.41,9940.87,10026.56
2019-09-10 20:00:00,10021.49,10127.22,9991.73,10102.02
2019-09-11 00:00:00,10094.27,10293.11,10051.0,10093.88
2019-09-11 04:00:00,10091.53,10097.65,9884.31,10067.46
2019-09-11 08:00:00,10068.41,10138.01,9988.69,10070.53
2019-09-11 12:00:00,10062.34,10101.38,9973.15,9991.84
2019-09-11 16:00:00,9992.18,10123.29,9934.11,10077.6
2019-09-11 20:00:00,10073.64,10184.66,10064.11,10159.55
2019-09-12 00:00:00,10163.06,10205.46,10085.88,10113.43
2019-09-12 04:00:00,10116.97,10129.19,10042.12,10078.96
2019-09-12 08:00:00,10079.76,10187.9,10076.95,10170.93
2019-09-12 12:00:00,10170.0,10365.15,10170.0,10326.58
2019-09-12 16:00:00,10327.25,10349.91,10239.42,10308.8
2019-09-12 20:00:00,10301.82,10450.13,10300.85,10415.13
2019-09-13 00:00:00,10414.96,10440.55,10329.3,10364.64
2019-09-13 04:00:00,10364.82,10399.81,10267.89,10284.03
2019-09-13 08:00:00,10283.68,10327.14,10251.99,10306.52
2019-09-13 12:00:00,10306.52,10344.0,10270.0,10296.57
2019-09-13 16:00:00,10294.81,10310.08,10186.34,10210.25
2019-09-13 20:00:00,10210.25,10355.85,10153.51,10341.34
2019-09-14 00:00:00,10343.01,10353.72,10267.08,10280.77
2019-09-14 04:00:00,10280.58,10330.61,10259.75,10316.67
2019-09-14 08:00:00,10319.07,10348.0,10287.53,10291.93
2019-09-14 12:00:00,10292.13,10396.4,10222.77,10358.0
2019-09-14 16:00:00,10355.61,10398.0,10325.41,10363.8
2019-09-14 20:00:00,10363.63,10419.97,10317.39,10332.25
2019-09-15 00:00:00,10333.47,10359.2,10024.81,10303.39
2019-09-15 04:00:00,10302.49,10326.59,10273.21,10308.96
2019-09-15 08:00:00,10308.08,10320.0,10268.55,10296.63
2019-09-15 12:00:00,10296.54,10317.29,10252.28,10306.37
2019-09-15 16:00:00,10306.79,10332.61,10280.14,10294.68
2019-09-15 20:00:00,10294.46,10316.45,10265.32,10302.22
2019-09-16 00:00:00,10302.0,10353.81,10300.0,10300.07
2019-09-16 04:00:00,10300.24,10325.0,10279.69,10302.3
2019-09-16 08:00:00,10301.95,10316.71,10275.74,10282.74
2019-09-16 12:00:00,10282.03,10282.03,10115.0,10120.07
2019-09-16 16:00:00,10117.4,10160.39,10080.7,10124.17
2019-09-16 20:00:00,10120.37,10329.38,10119.29,10249.27
2019-09-17 00:00:00,10257.3,10261.36,10175.2,10224.09
2019-09-17 04:00:00,10225.02,10230.79,10165.0,10201.89
2019-09-17 08:00:00,10202.92,10205.81,10136.77,10163.0
2019-09-17 12:00:00,10162.7,10244.27,10151.62,10201.14
2019-09-17 16:00:00,10201.09,10262.49,10200.39,10255.91
